field,transect,plot,soilPctC,soilPctN,lastCrop,age07
g,2,5,0.737,0.068,soybeans ,46
g,2,17,0.809,0.07,soybeans ,46
h,1,1,0.852,0.081,corn ,64
h,1,3,0.637,0.056,corn ,64
h,1,32,0.482,0.047,corn ,64
h,1,35,0.817,0.07,corn ,64
h,1,9,0.865,0.078,corn ,64
h,1,10,0.946,0.081,corn ,64
h,1,16,1.397,0.119,corn ,64
h,1,23,1.245,0.106,corn ,64
h,3,15,1.047,0.086,corn ,64
h,3,59,0.88,0.064,corn ,64
h,4,7,0.692,0.06,corn ,64
h,4,8,0.37,0.033,corn ,64
h,4,11,0.586,0.048,corn ,64
h,4,12,0.353,0.032,corn ,64
h,4,14,0.302,0.029,corn ,64
h,4,17,0.591,0.049,corn ,64
h,4,27,1.084,0.094,corn ,64
h,1,70,0.943,0.075,corn ,64
h,2,10,1.455,0.124,corn ,64
h,2,12,1.064,0.094,corn ,64
h,2,15,0.903,0.076,corn ,64
h,2,18,0.598,0.055,corn ,64
h,2,20,0.577,0.054,corn ,64
h,2,39,0.769,0.067,corn ,64
h,3,3,0.948,0.081,corn ,64
h,3,5,0.622,0.053,corn ,64
h,3,8,0.907,0.076,corn ,64
h,3,9,0.924,0.079,corn ,64
h,4,49,0.237,0.027,corn ,64
h,4,35,0.593,0.054,corn ,64
h,4,58,0.818,0.072,corn ,64
i,1,offT,1.124,0.103,soybeans ,48
i,2,5,0.663,0.063,soybeans ,48
i,2,4,0.858,0.078,soybeans ,48
i,2,10,0.687,0.062,soybeans ,48
i,2,11,1,0.09,soybeans ,48
i,2,12,1.129,0.099,soybeans ,48
i,2,offT,0.805,0.078,soybeans ,48
i,2,7,0.85,0.078,soybeans ,48
i,2,8,0.952,0.087,soybeans ,48
i,2,9,0.739,0.068,soybeans ,48
i,3,8,0.615,0.057,soybeans ,48
i,3,9,0.554,0.052,soybeans ,48
i,3,10,0.816,0.07,soybeans ,48
i,3,16,0.972,0.084,soybeans ,48
i,3,19,0.695,0.064,soybeans ,48
i,3,21,0.637,0.058,soybeans ,48
i,3,30,0.824,0.073,soybeans ,48
i,4,5,0.737,0.065,soybeans ,48
i,4,8,0.623,0.058,soybeans ,48
